timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
12223603,10.985342,11.426205,7.006,4.733546,0.0,1.2072866,0.6582308,1.0580353,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
12723668,11.472776,11.344253,5.2576,5.9356794,0.0,2.1429248,0.6345334,1.06231,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
13233786,10.750651,11.239872,12.1644,7.914708,0.0,3.3045099,0.6039729,1.067874,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
13734978,10.741625,11.077564,12.896,10.861127,0.0,5.0531693,0.5591507,1.0761409,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14233744,10.85897,10.956083,15.338799,12.504205,0.0,6.8842797,0.52381754,1.0827483,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
14733702,10.994369,10.836607,14.160799,13.851422,0.0,8.927516,0.48751786,1.0896217,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
15233660,10.470827,10.822536,12.152,13.087571,0.0,10.706408,0.48494008,1.090113,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
15734974,10.669412,10.769647,16.5416,13.896762,0.0,12.648947,0.4685345,1.093251,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
16243619,10.245163,10.674764,17.0252,15.988722,0.0,15.066778,0.44426206,1.0979269,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
16743632,10.109764,10.541736,23.6344,18.615913,0.0,17.733734,0.40594247,1.1053908,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
17243615,10.922156,10.492587,11.532,18.021723,0.0,20.31521,0.38863567,1.1087952,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
17743616,11.238086,10.7096815,7.7871995,11.695514,0.0,21.475801,0.44680026,1.097436,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
18243615,10.940208,10.829607,11.5444,10.072182,0.0,22.700935,0.47883323,1.091279,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
18743673,10.407641,10.670331,20.8692,15.019144,0.0,25.03473,0.43162063,1.100378,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
19253753,10.290296,10.478801,20.1872,18.645267,0.0,27.971327,0.37577632,1.1113384,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
19753889,10.20003,10.397567,20.261599,19.732649,0.0,30.791746,0.35597852,1.1152766,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
20253724,11.030475,10.493723,10.130799,15.624885,0.0,32.760143,0.3798299,1.1105354,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
20753640,10.877023,10.680652,9.8952,11.338341,0.0,33.991955,0.43157008,1.1003878,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
21253699,10.696491,10.719204,11.866799,11.313911,0.0,35.538975,0.4381962,1.0991017,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
21763606,10.795784,10.67441,15.314,12.678528,0.0,37.40031,0.42170098,1.1023091,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
22263603,10.344456,10.552763,18.6992,16.070515,0.0,39.85601,0.3895612,1.1086127,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
22765044,9.757728,10.38951,23.361599,19.610382,0.0,42.80735,0.34489635,1.1174934,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
23263605,10.822864,10.272488,15.1528,21.408304,0.0,45.97613,0.31294397,1.1239343,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
23763621,11.066582,10.572177,6.0263996,11.881512,0.0,46.915905,0.39030126,1.1084666,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
24263618,10.678438,10.734929,9.5728,8.882333,0.0,47.866123,0.4277158,1.1011374,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
24763614,10.154897,10.640345,22.0844,13.388575,0.0,49.908817,0.4052296,1.1055306,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25263603,9.730648,10.432547,22.642399,18.761778,0.0,52.923267,0.36047462,1.1143799,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
25765014,9.992418,10.268998,22.7292,21.444794,0.0,56.12564,0.31917956,1.1226715,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26273620,10.100738,10.169365,23.6344,22.440004,0.0,59.36749,0.29853538,1.1268631,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
26773777,10.994369,10.4438925,7.7871995,13.170492,0.0,60.659634,0.35812762,1.1148478,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
27273714,10.714544,10.523224,12.288401,12.371612,0.0,62.285263,0.36971763,1.1125407,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
27773615,10.732598,10.585723,11.656,12.153505,0.0,63.974915,0.3879638,1.1089278,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
28273692,10.425694,10.565894,14.756,12.977244,0.0,65.80134,0.3777652,1.1109443,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
28773955,10.434721,10.514406,15.834801,15.064733,0.0,68.04586,0.36801723,1.1128786,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
29273681,10.17295,10.480574,18.848,15.422503,0.0,70.17145,0.35728934,1.115015,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
29773774,9.875073,10.314462,23.225199,19.564598,0.0,73.16706,0.31414273,1.1236913,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
30283632,10.335428,10.216396,15.3512,20.37496,0.0,76.191444,0.28469136,1.1296916,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
30783684,10.985342,10.454149,8.196401,13.175641,0.0,77.51464,0.3474603,1.1169797,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31283612,10.534013,10.559753,12.1768,11.678555,0.0,78.95502,0.3716779,1.1121514,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31783603,10.335428,10.536888,16.4052,13.327666,0.0,80.877945,0.36590198,1.1132991,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32284211,10.407641,10.462804,15.4752,15.587716,0.0,83.24007,0.34819797,1.116832,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32783672,9.956312,10.300519,20.8568,19.346292,0.0,86.17641,0.31911185,1.1226852,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33784284,10.895076,10.476891,11.507199,13.4682455,0.0,89.96497,0.35727075,1.1150187,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34283603,10.579145,10.608965,8.035199,10.766646,0.0,91.27458,0.39001897,1.1085223,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34793773,9.757728,10.579577,23.7832,12.559205,0.0,92.999954,0.37644103,1.1112067,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35293720,9.947286,10.367136,21.5264,18.231977,0.0,96.00172,0.33291915,1.119899,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35793689,10.17295,10.217953,19.2076,21.177149,0.0,99.18586,0.30013564,1.1265371,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36294078,10.597199,10.183526,11.284,20.514517,0.0,102.072914,0.30048898,1.1264651,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36793762,11.012422,10.498291,7.998,11.418004,0.0,102.94751,0.37187293,1.1121126,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37293868,10.0826845,10.453915,18.959599,14.68447,0.0,105.06869,0.3493276,1.116606,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37793616,10.534013,10.45047,14.160799,15.118746,0.0,107.240944,0.34934714,1.1166021,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38293912,10.786757,10.520634,12.2016,13.189071,0.0,108.94363,0.36711267,1.1130583,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38803605,10.001445,10.430772,21.9108,16.172316,0.0,111.34556,0.34118894,1.1182369,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
39303606,10.046578,10.262025,22.0224,19.841463,0.0,114.3805,0.3046303,1.1256223,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
39803660,10.20003,10.175232,19.3192,20.898361,0.0,117.41309,0.2889891,1.128812,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
40303608,10.867996,10.3877,5.6172,13.594384,0.0,118.81222,0.33208564,1.1200669,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
40804195,10.714544,10.605298,7.9732,8.523573,0.0,119.55561,0.37555078,1.1113831,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
41303671,10.010471,10.533783,19.0712,12.37033,0.0,121.41836,0.35208276,1.1160549,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
41803603,9.8841,10.317746,22.406801,18.095308,0.0,124.35055,0.29802182,1.1269678,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
42313626,10.118791,10.216973,21.018,19.766298,0.0,127.29977,0.28241542,1.130158,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
42813807,9.983393,10.117493,22.146399,20.87267,0.0,130.27168,0.24791767,1.1372743,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
43313733,10.922156,10.170579,5.9892,17.555614,0.0,132.66429,0.25388768,1.1360363,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
43813711,10.714544,10.517122,6.3487997,9.024285,0.0,133.22507,0.34331897,1.1178095,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
44313615,10.606226,10.576182,15.1776,9.997603,0.0,134.62863,0.3592749,1.114619,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
44813761,9.857019,10.353047,21.4024,16.82347,0.0,137.48361,0.30455497,1.1256377,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
45313873,9.974365,10.214304,21.6504,19.646843,0.0,140.43848,0.2790332,1.1308516,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
45813750,9.631355,10.095832,24.4528,21.076387,0.0,143.44608,0.25447658,1.1359143,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
46323668,11.156847,10.208739,3.0876,16.789476,0.0,145.77585,0.28101495,1.1304451,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
46823677,11.111714,10.511607,6.3487997,9.000553,0.0,146.36583,0.34646276,1.1171795,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
47323603,9.965339,10.508985,21.538801,11.431775,0.0,147.93857,0.3384991,1.118777,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
47823603,10.245163,10.327994,19.6416,17.068537,0.0,150.78777,0.33352187,1.1197777,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
48323693,9.875073,10.216921,23.733599,19.215322,0.0,153.60574,0.35138562,1.1161942,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
48823606,9.847994,10.125258,23.5228,20.371017,0.0,156.53398,0.34625104,1.1172218,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
49323603,10.922156,10.174693,7.2292,18.049698,0.0,159.0597,0.343699,1.1177334,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
49823603,10.552067,10.364395,7.6383996,12.852588,0.0,160.46275,0.35408548,1.1156546,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
50323605,9.757728,10.244736,21.2908,17.422537,0.0,163.04599,0.30946162,1.1246407,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
50833753,10.687465,10.356263,7.75,13.730911,0.0,164.9187,0.32175258,1.1221513,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
51333662,10.100738,10.464207,20.77,11.3780985,0.0,166.19734,0.3341618,1.1196489,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
51833770,10.010471,10.214525,21.873598,18.852081,0.0,169.42882,0.28875783,1.1288593,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
52333628,10.272243,10.106532,21.0304,20.721603,0.0,172.4673,0.28363326,1.1299083,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
52833830,10.506933,10.295309,12.6108,14.795968,0.0,174.07231,0.31145433,1.1242363,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
53333724,9.91118,10.342843,21.923199,14.117408,0.0,175.90198,0.3106809,1.1243932,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
53844509,10.660385,10.22065,9.8331995,17.868284,0.0,178.87282,0.28792623,1.1290294,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
54343611,11.057554,10.481497,6.4975996,10.272215,0.0,179.75359,0.34331658,1.1178101,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
54843615,9.775781,10.352494,23.671598,15.7129755,0.0,182.10081,0.30489543,1.1255684,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
55343620,10.037551,10.16855,21.538801,20.454535,0.0,185.35078,0.28767684,1.1290804,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
55844075,9.920206,10.052044,20.1128,21.826365,0.0,188.52768,0.26025537,1.1347189,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
56353618,10.425694,10.208028,13.082,15.811404,0.0,190.36205,0.2782121,1.1310202,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
56853668,10.822864,10.383801,6.0388,11.748034,0.0,191.7849,0.3132067,1.123881,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
57353800,10.091711,10.479043,12.1768,10.3966875,0.0,193.05966,0.32824567,1.1208405,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
57853626,10.028525,10.321478,18.240398,15.62447,0.0,195.62569,0.28321317,1.1299944,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58353669,10.100738,10.236541,18.897598,17.439877,0.0,198.18748,0.2608576,1.1345944,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
58853669,10.759677,10.300804,11.6312,14.9071,0.0,200.15343,0.2758346,1.1315086,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59353798,10.434721,10.442273,11.2095995,11.598057,0.0,201.50845,0.31429532,1.1236603,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
59854006,9.947286,10.211833,21.551199,18.77809,0.0,204.64868,0.2755542,1.1315662,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60353852,9.7216215,10.068182,21.6504,21.104979,0.0,207.77098,0.2657781,1.1335788,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
60853727,10.777731,10.089502,8.1344,18.907022,0.0,210.37726,0.27188256,1.1323212,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61353617,10.795784,10.407061,4.2655997,10.145347,0.0,211.13512,0.33132938,1.1202191,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
61853777,9.739675,10.391147,22.5928,12.414935,0.0,212.84251,0.30833867,1.1248688,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62353840,9.875073,10.222356,21.6008,18.016964,0.0,215.80095,0.29610112,1.1273594,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
62853639,10.118791,10.108429,21.7868,20.005287,0.0,218.73534,0.2786074,1.130939,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63353938,10.705519,10.254235,6.0884,14.413096,0.0,220.4921,0.29233173,1.1281289,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
63863603,10.416668,10.4822,12.1147995,9.156866,0.0,221.32152,0.33436206,1.1196086,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64363605,9.703568,10.247041,22.196,17.393948,0.0,224.35693,0.2978368,1.1270055,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
64863614,10.335428,10.104455,21.4024,19.897095,0.0,227.32152,0.2974687,1.1270806,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65363621,9.649408,10.001521,22.840801,21.289068,0.0,230.3823,0.26858762,1.1329997,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
65863608,10.994369,10.267663,3.8191998,13.136244,0.0,231.83841,0.30990317,1.1245512,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
