timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
11850254,0.7219314,0.16371606,0.039885275,-0.6711344,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11854313,0.72217894,0.16025719,0.040915556,-0.67164075,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11858282,0.7225588,0.15593752,0.04210976,-0.67217493,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11862261,0.7228895,0.1520252,0.043342445,-0.67263705,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11866254,0.7233074,0.14773272,0.044563655,-0.67306435,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11870259,0.72383446,0.14257714,0.045804117,-0.6735262,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11874262,0.7243593,0.13787894,0.04710334,-0.6738504,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11878254,0.7250023,0.13274339,0.048600413,-0.67408377,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11882259,0.7257073,0.12686045,0.04991529,-0.6743618,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11886282,0.7264,0.12169071,0.050899647,-0.67449516,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11890256,0.72722185,0.11633787,0.052176934,-0.6744565,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11894256,0.7280375,0.11051354,0.05340613,-0.6744598,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11898259,0.72881943,0.10513334,0.05425538,-0.6744076,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11902256,0.72976637,0.09992562,0.055294853,-0.6740908,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11906292,0.7306883,0.09470322,0.05599368,-0.6737883,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11910257,0.7315665,0.08969224,0.056737177,-0.67345876,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11914327,0.73262626,0.08491621,0.057216313,-0.6728851,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11918300,0.73359174,0.08086318,0.05773576,-0.6722879,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11922257,0.73454106,0.076739825,0.058276784,-0.67168766,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11926254,0.73560125,0.072979316,0.058397558,-0.67093563,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11930261,0.7366024,0.06980622,0.058678064,-0.67014986,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11934259,0.73759294,0.066610955,0.058789037,-0.6693755,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11938259,0.73864675,0.063810535,0.058285393,-0.66852987,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11942279,0.73967093,0.061271228,0.05823786,-0.66763854,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11946261,0.74064404,0.058819238,0.057651974,-0.66683066,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11950256,0.74165106,0.05676624,0.056460425,-0.66599077,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11954274,0.74268335,0.054653324,0.055808455,-0.66507137,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11958285,0.74375117,0.052347876,0.054437414,-0.6641765,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11962256,0.7448137,0.05058046,0.052689135,-0.6632632,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11966261,0.7459444,0.048758507,0.051293142,-0.6622376,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11970280,0.74714005,0.046535924,0.049178775,-0.66120917,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11974256,0.7483293,0.04466496,0.04711002,-0.6601432,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11978260,0.74956304,0.042950533,0.045169666,-0.6589918,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11982256,0.7508067,0.040865302,0.04278365,-0.6578671,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11986257,0.751999,0.038951147,0.040683713,-0.6567536,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11990256,0.7531917,0.037377696,0.03859818,-0.6556032,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11994254,0.75437635,0.035479397,0.036296826,-0.65447694,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
11998280,0.755568,0.03372124,0.034624312,-0.65328485,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12002301,0.75671756,0.032250777,0.032683596,-0.6521275,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12006256,0.7578995,0.030826462,0.030850157,-0.650912,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12010318,0.75909,0.029464042,0.02948222,-0.64965,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12014257,0.76025987,0.028145213,0.028404266,-0.64838725,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12018259,0.76150125,0.027396575,0.026644232,-0.6470359,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12022262,0.7628317,0.026381908,0.02598741,-0.6455359,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12026279,0.7641629,0.025460858,0.025359314,-0.6440216,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12042257,0.76969457,0.023539223,0.022883069,-0.63756776,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12046259,0.77107054,0.022717515,0.022602223,-0.6359428,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12050260,0.77250177,0.022604164,0.02178854,-0.63423604,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12054281,0.7738864,0.021839805,0.021629974,-0.63257825,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12058256,0.7752816,0.02105624,0.020896649,-0.6309187,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12062292,0.7768004,0.020663135,0.020118695,-0.6290864,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12066257,0.7782353,0.019530764,0.019927252,-0.62735254,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12070262,0.77979255,0.01888765,0.018727692,-0.6254728,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12075054,0.7816949,0.01774027,0.018116552,-0.6231455,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12079054,0.7832909,0.016621638,0.017485486,-0.621187,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12083854,0.7853215,0.01578042,0.015922653,-0.61868215,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12087854,0.7869341,0.014356298,0.015573024,-0.6166734,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12091867,0.78860474,0.013727246,0.014272615,-0.61458147,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12095854,0.79021966,0.012826324,0.013289806,-0.61254543,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12099857,0.79183865,0.011716538,0.012411657,-0.6104919,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
12103886,0.7935027,0.011153513,0.011490505,-0.608356,0.99999213,6.7006494e-09,-3.8543384e-08,0.003968842,2
