timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
12075054,-0.2576587,-0.49561387,1.333722,4792,0,-0.59585434,-3.480859,-11.292379,4792
12079054,-0.28506848,-0.59317863,1.358374,4000,0,2.34206,4.3950763,-6.0524483,4000
12083854,0.08840107,-0.7263537,1.4313973,4800,0,-1.3306609,-3.420836,-11.006735,4800
12087854,-0.49084154,-0.5761679,1.3793336,4000,0,1.2763926,1.1941262,-9.169152,4000
12091867,0.11533087,-0.7030547,1.4372209,4013,0,-1.3850955,3.1575713,-10.180048,4013
12095854,-0.08859055,-0.66581476,1.4031284,3987,0,2.116073,-4.430192,-8.582188,3987
12099857,-0.2036271,-0.68502986,1.4205734,4003,0,-0.2720667,1.5598013,-9.290292,4003
12103886,0.025089279,-0.5318343,1.4603134,4029,0,-1.036043,-1.3163075,-11.469406,4029
12107854,-0.21984516,-0.6223986,1.3603736,3968,0,-0.004777757,2.00307,-10.508084,3968
12111854,0.14824985,-0.73719,1.468202,4000,0,-1.6780393,0.43315145,-10.584576,4000
12115854,-0.09504138,-0.34777424,1.4765406,4000,0,-1.0807996,-3.4184022,-10.364923,4000
12119896,-0.26220092,-0.47631514,1.4118717,4042,0,2.9030018,2.917802,-6.914556,4042
12123854,0.31099507,-0.5534789,1.5206186,3958,0,-3.2211585,-0.046811085,-12.320111,3958
12127854,-0.2629384,-0.30852762,1.4625125,4000,0,-1.2811728,-2.406312,-10.419224,4000
12131888,-0.025113663,-0.34467056,1.5318149,4034,0,0.8826208,4.0997014,-6.7873964,4034
12135890,0.15699947,-0.38332695,1.5493615,4002,0,-2.4175844,-3.2103348,-11.780768,4002
12139874,-0.317612,-0.28052658,1.4929954,3984,0,1.0971271,0.968688,-8.83606,3984
12143854,0.16363265,-0.2805254,1.5872196,3980,0,-2.7354848,1.0189906,-9.3468275,3980
12147854,-0.27403346,-0.14855833,1.5219955,4000,0,-0.34425712,-2.3734689,-10.455809,4000
12151872,-0.09239655,-0.22280797,1.5387393,4018,0,1.9151882,3.5250807,-6.966635,4018
12155886,0.12962435,-0.22580992,1.6261457,4014,0,-2.466766,-4.564316,-10.848433,4014
12159854,-0.6687423,0.02352681,1.5347289,3968,0,0.39297703,1.1695725,-8.536365,3968
12163854,0.19073215,-0.1692941,1.6189371,4000,0,-1.5439992,5.2023263,-9.331286,4000
12167857,-0.14469756,-0.14925347,1.6298285,4003,0,-1.1534483,-5.937713,-11.076041,4003
12171854,-0.5119443,0.036414135,1.6098601,3997,0,0.8682399,3.1058192,-7.422134,3997
12175854,0.24010327,-0.04066259,1.6953397,4000,0,-1.7646171,-0.5066322,-8.69407,4000
12179854,-0.43832293,0.040890116,1.596949,4000,0,-1.4327855,-0.5362125,-10.950458,4000
12183863,0.05792911,-0.116415605,1.6377258,4009,0,-0.034726594,4.331151,-9.538132,4009
12187854,0.15403956,0.050595034,1.7048777,3991,0,-0.524934,-6.665998,-10.16257,3991
12191854,-0.5211786,0.13969089,1.5634948,4000,0,1.1136779,4.1158547,-8.874531,4000
12195854,0.5253189,-0.053994626,1.6596973,4000,0,-0.68148047,3.0126078,-7.6185465,4000
12199854,-0.021374658,0.033552807,1.6241869,4000,0,-2.668258,-5.342877,-10.778072,4000
12203896,-0.26750603,0.17328273,1.6291999,4042,0,2.2085464,4.2860513,-7.6138134,4042
12207886,0.5231155,0.040956575,1.7099017,3990,0,-0.55859697,-1.0461504,-9.729837,3990
12211873,-0.21809454,-0.02510538,1.6332196,3987,0,-0.28582814,-1.7568221,-10.62145,3987
12215854,0.121844314,0.13591486,1.7166897,3981,0,-1.7179527,4.769484,-8.9947,3981
12219854,0.32468954,0.06750026,1.7251265,4000,0,0.2274727,-3.5007312,-8.569626,4000
12223864,-0.20053846,-0.019625016,1.6442844,4010,0,2.134223,0.49955714,-8.017034,4010
12227854,0.39439437,-0.014490875,1.7379779,3990,0,-4.009777,1.7615169,-12.329172,3990
12231869,0.0013412134,0.106502146,1.6786418,4015,0,1.1257037,-4.651132,-8.337057,4015
12235860,-0.17897023,-0.12054006,1.6074065,3991,0,0.2222253,4.078532,-8.961967,3991
12239863,0.38221496,-0.13566254,1.7084134,4003,0,-0.13141577,-3.127838,-10.768819,4003
12243857,-0.25496596,0.011891213,1.6369075,3994,0,-1.2361206,-2.0995908,-9.994072,3994
12247857,-0.07754832,-0.19064258,1.6359602,4000,0,-0.83932006,5.452084,-9.763956,4000
12251872,0.20427822,-0.22226454,1.7175255,4015,0,-0.31024212,-3.785629,-11.33878,4015
12255859,-0.37577832,-0.11317597,1.6978879,3987,0,-0.14607307,-0.62658757,-10.009304,3987
12259886,-0.00584732,-0.17771758,1.7549089,4027,0,-1.1147811,3.97542,-10.306629,4027
12263856,-0.068626806,-0.30600148,1.7214823,3970,0,-1.0226327,-2.698095,-12.060155,3970
12267854,-0.29228315,-0.15269129,1.7413207,3998,0,0.7340143,1.3778436,-8.879256,3998
12271856,0.064403355,-0.1247771,1.7948498,4002,0,-0.2780859,-0.12088892,-9.979694,4002
12275862,-0.21717209,-0.21034259,1.6795797,4006,0,-1.2345843,-1.6123704,-12.358942,4006
12279854,-0.12923466,-0.13065346,1.7055439,3992,0,-1.3973238,3.8839283,-11.367996,3992
12283854,0.041244593,-0.0060482104,1.7547985,4000,0,1.2196437,-2.776795,-8.927265,4000
12287918,-0.22393155,-0.014211409,1.6691213,4064,0,-0.40615866,-0.01788498,-10.555632,4064
12291860,-0.0009828854,0.004014058,1.7265552,3942,0,-0.93797606,3.0149145,-12.224046,3942
12295860,0.025559358,0.15246916,1.7842406,4000,0,0.6820832,-2.4969316,-9.757798,4000
12299854,-0.14209275,0.17028758,1.7366025,3994,0,-0.033034697,1.3470939,-8.631186,3994
12303854,0.08680437,0.16999973,1.80835,4000,0,-0.22815411,0.4057534,-9.883336,4000
12307866,-0.088583454,0.19477905,1.813231,4012,0,-1.9243472,-0.943393,-12.262793,4012
12311907,-0.04758644,0.25711614,1.8107623,4041,0,1.772825,1.4601201,-8.529452,4041
12315854,0.09250137,0.24626422,1.8145931,3947,0,0.8182792,-2.1878307,-7.059331,3947
12319854,-0.18235739,0.15692571,1.7660031,4000,0,-2.6537929,0.9786488,-11.097649,4000
12323854,0.054470357,0.2443897,1.8142273,4000,0,1.03815,1.2215794,-10.354432,4000
12327856,0.01828336,0.14243059,1.7612767,4002,0,1.938209,-3.3437362,-7.887707,4002
12331854,-0.2479111,0.11458362,1.7001082,3998,0,0.572322,0.95614374,-7.4496174,3998
12335854,0.08868813,0.14913996,1.8179429,4000,0,-1.6517924,2.7599275,-9.337481,4000
12339864,-0.06799554,-0.012762722,1.7629056,4010,0,-0.7174087,-1.8264089,-10.867414,4010
12343854,-0.13742033,-0.08378504,1.769319,3990,0,2.8418539,0.40509748,-8.435932,3990
12347864,0.099720284,0.06824437,1.9131043,4010,0,-0.3565761,-0.656325,-7.8821306,4010
12351874,-0.20199619,-0.09822314,1.8090899,4010,0,-1.6512623,0.5590443,-9.733353,4010
12355854,0.040519208,-0.19284838,1.8305877,3980,0,1.3324003,1.7690678,-9.922577,3980
12359854,0.045335863,-0.10541622,1.875734,4000,0,-1.0303888,-2.6209335,-9.791183,4000
12363886,-0.23610376,-0.09568517,1.786265,4032,0,1.3471582,1.3895646,-6.776311,4032
12367854,0.1989032,-0.2706621,1.816173,3968,0,-0.530137,1.5512673,-11.000277,3968
12371925,-0.043355357,-0.16899428,1.8011357,4071,0,-0.6376728,-4.1542673,-12.052327,4071
12375854,-0.2207389,-0.027612695,1.7591041,3929,0,2.2232468,3.2189867,-5.920083,3929
12379854,0.29364902,-0.23889406,1.8264629,4000,0,-1.2512412,0.30243754,-11.070908,4000
12383857,-0.11695416,-0.13962361,1.8091851,4003,0,-2.0329022,-3.1636539,-14.337631,4003
12387854,-0.1338694,0.05980957,1.8239106,3997,0,3.002909,4.0317707,-6.3131,3997
