timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
30869606,11.788707,12.173665,8.1592,2.6716964,0.0,63.46869,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31379607,11.590122,12.005284,9.0024,6.399158,0.0,64.65327,0.9697428,1.0048798,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
31879618,11.662335,11.867769,10.044,8.344513,0.0,65.95772,0.923934,1.012359,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32380160,11.554016,11.768209,8.208799,9.168741,0.0,67.33711,0.8893986,1.0180717,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
32879674,11.463751,11.703922,10.2424,9.562032,0.0,68.67775,0.86577463,1.0220166,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33379640,11.590122,11.614204,12.127199,10.37425,0.0,70.173485,0.8327799,1.027578,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
33890061,11.418617,11.539883,13.565599,11.950431,0.0,71.97745,0.81293535,1.030952,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34389761,11.499856,11.449634,14.842799,13.122388,0.0,73.8773,0.7824025,1.0361868,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
34889687,11.039501,11.392449,13.9624,13.560139,0.0,75.79722,0.7636328,1.0394313,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35389661,10.895076,11.283575,18.029598,14.931774,0.0,77.92056,0.72513103,1.0461507,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
35889630,11.274192,11.04223,18.674398,19.953968,0.0,81.07851,0.6704159,1.0558505,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36389608,11.888,11.301707,3.9432,11.754183,0.0,82.24635,0.7438421,1.0428745,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
36889747,11.662335,11.499708,9.1016,7.746357,0.0,82.957375,0.7951875,1.0339884,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37389844,10.561093,11.225552,25.8044,16.197615,0.0,85.673904,0.7092953,1.0489397,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
37889667,10.48888,10.931114,26.4368,22.335619,0.0,89.25631,0.6238928,1.0642406,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38389666,11.743574,11.038783,5.2948,17.075146,0.0,91.505104,0.6548257,1.0586473,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
38889754,11.851893,11.295702,10.912,10.731489,0.0,92.42918,0.7267251,1.0458708,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
39389700,10.236136,11.1097765,23.684,17.042183,0.0,95.10659,0.67201376,1.0555646,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
