timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
30504657,0.06811497,-0.041071396,0.017823964,3993,0,-0.5483323,-1.1609607,-10.115085,3993
30508661,-0.029574761,-0.029525857,0.020979116,4004,0,0.3484998,-1.5684395,-9.145944,4004
30512655,-0.002512151,-0.07075722,0.011154502,3994,0,-0.33461067,-0.09207048,-10.652018,3994
30516655,0.11987762,-0.043023575,0.0020179302,4000,0,-0.17533512,-1.1181674,-9.883248,4000
30520663,0.04672859,-0.037599616,0.0043861084,4008,0,-0.21785663,-2.0998328,-9.298118,4008
30524655,-0.061976507,-0.053466782,-0.0013229105,3992,0,-0.36758897,-0.5515954,-10.024223,3992
30528738,0.0746865,-0.037302233,0.015360367,4083,0,-0.50726724,-0.7184967,-10.063978,4083
30532655,0.024849752,-0.0011581308,0.022379812,3917,0,0.06948217,-1.7312185,-9.148741,3917
30536655,-0.02320519,-0.05313126,0.006238171,4000,0,0.008977488,-0.52854097,-9.662894,4000
30540661,0.1074086,-0.049041685,0.003715425,4006,0,-0.47136974,-0.5586164,-10.691908,4006
30544655,0.08753669,-0.014624122,0.0019531935,3994,0,-0.42992553,-1.9964051,-9.245163,3994
30548667,-0.054881364,-0.027530842,-3.1481493e-06,4012,0,0.0971713,-1.3444583,-9.623017,4012
30552659,0.04424639,-0.05064524,0.007259592,3992,0,-0.54463065,-0.3804294,-10.460643,3992
30556673,0.04760457,0.01664396,0.016906854,4014,0,-0.37957656,-1.8278968,-9.463212,4014
30560667,-0.037054665,-0.0066293334,0.00892181,3994,0,0.24952374,-0.85470563,-9.142106,3994
30564655,0.08666685,-0.06353398,0.0014385908,3988,0,-0.22205122,-0.62416524,-10.415519,3988
30568655,0.089400455,-0.020459296,-0.00097212504,4000,0,-0.7869432,-1.912477,-10.088386,4000
30572655,-0.05846031,0.022242919,-0.005840645,4000,0,0.031238308,-1.6794696,-9.315559,4000
30576661,-0.0043755323,-0.05563904,-0.004216709,4006,0,-0.22649422,-0.12211535,-9.806945,4006
30580712,0.066371255,-0.010175481,0.010197831,4051,0,-0.82432526,-1.6380521,-10.266177,4051
30584655,-0.052527472,0.032621253,0.008244532,3943,0,0.21612279,-1.4442004,-9.192396,3943
30588655,0.03139964,-0.054302875,-0.0010041693,4000,0,0.3222003,-0.31248754,-10.039202,4000
30592660,0.09947225,-0.03979293,-0.00013888555,4005,0,-0.8737513,-1.7268436,-10.239308,4005
30596666,-0.06146256,0.051566016,-0.0028680298,4006,0,-0.32123473,-1.9025702,-8.968618,4006
30600663,-0.05093042,-0.044413973,-0.005224802,3997,0,0.2685549,-0.17974935,-9.78273,3997
30604655,0.06525346,-0.02815313,0.005940223,3992,0,-1.1885378,-1.2179067,-10.69267,3992
30608657,-0.066231154,0.07905567,0.011453007,4002,0,0.0014392079,-1.9038587,-9.049111,4002
30612700,-0.012031883,-0.05110836,-0.0047598775,4043,0,0.38247478,-0.07952193,-9.867537,4043
30616655,0.10268583,-0.038949445,0.00037521045,3955,0,-0.9466866,-1.7272393,-10.689207,3955
30620662,-0.07701378,0.08882917,-0.0033676755,4007,0,-0.42724547,-2.334948,-9.134232,4007
30624655,-0.104614295,-0.007895733,-0.00910495,3993,0,0.17094116,-0.2982455,-9.677996,3993
30628655,0.02979229,-0.014314019,0.0019620182,4000,0,-1.3309721,-0.99557763,-10.681354,4000
30632710,-0.07227874,0.11414256,0.005021234,4055,0,-0.22933717,-2.2392445,-9.213744,4055
30636655,-0.075605474,0.023321513,-0.004026444,3945,0,-0.096608,-0.5225275,-10.190911,3945
30640664,0.017905567,0.017331501,0.00032402092,4009,0,-0.75743973,-1.6293347,-10.985023,4009
30644661,-0.10620005,0.13860674,-0.0022991118,3997,0,-0.88307,-2.1189396,-9.582919,3997
30648655,-0.1764328,0.11139965,-0.0029729593,3994,0,-0.059656795,-0.64370984,-9.206744,3994
30652655,-0.05526646,0.077598125,0.005062841,4000,0,-1.3237253,-1.4742622,-10.940433,4000
30656655,-0.13544028,0.18380918,-0.0038081757,4000,0,-1.2365685,-2.259987,-10.984087,4000
30660665,-0.2170245,0.21765184,-6.021737e-05,4010,0,-0.24199986,-1.4364222,-10.056386,4010
30664655,-0.14303075,0.16346325,0.0028749527,3990,0,-0.2457708,-1.0238259,-9.857618,3990
30668655,-0.15579158,0.24396746,0.0020714311,4000,0,-1.8367907,-1.4093696,-9.613784,4000
30672655,-0.25937808,0.33973938,-0.0005079163,4000,0,0.16710876,-2.813611,-8.902005,4000
30676655,-0.25698045,0.24921669,-0.01698595,4000,0,-2.1652465,-0.7677731,-11.910348,4000
30680655,-0.30174986,0.4119504,-0.008021167,4000,0,-1.4609226,-2.451716,-11.1442995,4000
30684689,-0.3853459,0.44631246,-0.01175454,4034,0,0.5033082,-0.66155183,-9.593613,4034
30688657,-0.21628504,0.38859826,0.0015132271,3968,0,-0.97176397,-1.5257943,-10.042446,3968
30692655,-0.31640902,0.48529688,-0.016763542,3998,0,-3.1837895,-2.6967232,-11.68226,3998
30696705,-0.5622128,0.64404947,-0.00425515,4050,0,0.3934528,-1.7932911,-10.054054,4050
30700664,-0.37457475,0.5370628,-0.029868342,3959,0,-1.5175856,-0.24435577,-9.959709,3959
30704655,-0.42318374,0.6763159,-0.011042747,3991,0,-1.2994815,-2.860131,-10.125611,3991
