timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
30504657,0.9963071,0.031832423,-0.047310334,-0.06419358,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30508661,0.99630487,0.03178267,-0.04738326,-0.06419753,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30512655,0.99629563,0.031782396,-0.047541317,-0.06422532,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30516655,0.9962799,0.032030318,-0.04765937,-0.0642579,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30520663,0.99627,0.03213303,-0.047756992,-0.0642889,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30524655,0.99626464,0.032017674,-0.047871463,-0.06434276,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30528738,0.9962539,0.032177743,-0.047974862,-0.06435296,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30532655,0.99625075,0.032238442,-0.047998264,-0.06435339,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30536655,0.9962439,0.03219915,-0.048118077,-0.06439011,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30540661,0.9962285,0.03242116,-0.04824654,-0.064419016,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30544655,0.99621785,0.03260752,-0.048303477,-0.06444866,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30548667,0.9962148,0.032508567,-0.048367847,-0.06449681,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30552659,0.99620384,0.03260367,-0.048491135,-0.06452633,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30556673,0.9962003,0.032713704,-0.04848156,-0.06453163,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30560667,0.9961992,0.03265253,-0.04850694,-0.06456017,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30564655,0.9961837,0.032830626,-0.048660774,-0.064595364,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30568655,0.99617124,0.033020347,-0.048729815,-0.06463705,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30572655,0.9961722,0.03292148,-0.04869435,-0.06469992,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30576661,0.9961624,0.032920018,-0.04882088,-0.064756595,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30580712,0.99615407,0.033065706,-0.0488672,-0.06477423,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30584655,0.9961577,0.03297991,-0.04881328,-0.064802825,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30588655,0.9961463,0.033049516,-0.0489418,-0.0648472,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30592660,0.99613136,0.033256683,-0.049050823,-0.064886525,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30596666,0.9961359,0.03315494,-0.0489565,-0.06494091,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30600663,0.9961301,0.033062,-0.049054287,-0.065003656,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30604655,0.9961197,0.033201233,-0.049135473,-0.06503172,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30608657,0.9961292,0.03309197,-0.048986282,-0.06505254,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30612700,0.9961203,0.033075124,-0.049103595,-0.06510905,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30616655,0.99610555,0.033285834,-0.049210295,-0.06514845,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30620662,0.9961146,0.033157554,-0.049039457,-0.06520426,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30624655,0.99611545,0.032962848,-0.049057137,-0.06527668,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30628655,0.9961081,0.033033617,-0.04910589,-0.06531435,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30632710,0.9961206,0.03291567,-0.04888287,-0.0653525,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30636655,0.99612266,0.032783862,-0.048843723,-0.06541487,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30640664,0.99611896,0.03283517,-0.048828162,-0.06545728,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30644661,0.9961348,0.032655418,-0.04855486,-0.065509066,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
30648655,0.9961526,0.03233234,-0.048326336,-0.06556949,0.992103,5.042346e-09,7.202665e-10,0.12542601,3
