timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
30373585,30373484,-0.11410458,0.1513594,-0.022289444,0.0,0.0,0.0,0.0,-1.0
30375221,30375063,-0.12136955,0.15838583,-0.029710028,0.0,0.0,0.0,0.0,-1.0
30505563,30505455,-0.13230208,0.16693239,-0.023139384,0.0,0.0,0.0,0.0,-1.0
30509571,30509470,-0.1258583,0.15690568,-0.036100302,0.0,0.0,0.0,0.0,-1.0
30512765,30512655,-0.109764636,0.16557625,-0.029829735,0.0,0.0,0.0,0.0,-1.0
30515208,30515107,-0.13226633,0.17344406,-0.015086814,0.0,0.0,0.0,0.0,-1.0
30520019,30519862,-0.16006693,0.16940685,-0.0049130986,0.0,0.0,0.0,0.0,-1.0
30522377,30522257,-0.1519428,0.1671279,0.0031494824,0.0,0.0,0.0,0.0,-1.0
30526372,30526259,-0.10138797,0.17129485,0.003051797,0.0,0.0,0.0,0.0,-1.0
30530376,30530255,-0.12913562,0.16718306,-0.015927888,0.0,0.0,0.0,0.0,-1.0
30533557,30533456,-0.13790232,0.15636759,-0.030824257,0.0,0.0,0.0,0.0,-1.0
30537563,30537462,-0.11625861,0.16520783,-0.024922447,0.0,0.0,0.0,0.0,-1.0
30541557,30541456,-0.1458809,0.17876786,-0.008007586,4.997524e-29,0.0,0.0,0.0,-1.0
30543955,30543855,-0.15932137,0.1725688,-0.0056194644,4.997524e-29,0.0,0.0,0.0,-1.0
30547966,30547855,-0.14140318,0.1639447,-0.0036691844,4.997524e-29,0.0,0.0,0.0,-1.0
30550367,30550256,-0.107590914,0.1647866,0.0025448664,4.997524e-29,0.0,0.0,0.0,-1.0
30554362,30554255,-0.11927314,0.17384519,-0.00877046,5.0803697e-29,0.0,0.0,0.0,-1.0
30558369,30558257,-0.13473384,0.154694,-0.025190085,5.0803697e-29,0.0,0.0,0.0,-1.0
30561587,30561464,-0.11644318,0.15152226,-0.025100736,5.0803697e-29,0.0,0.0,0.0,-1.0
30565587,30565486,-0.13851221,0.1780474,-0.01082116,5.0803697e-29,0.0,0.0,0.0,-1.0
30568765,30568655,-0.16800731,0.18388772,-0.0014519412,5.0803697e-29,0.0,0.0,0.0,-1.0
30571957,30571855,-0.14374386,0.16491836,-0.0017467125,5.0803697e-29,0.0,0.0,0.0,-1.0
30575975,30575855,-0.106795564,0.16224423,0.0015915879,5.0803697e-29,0.0,0.0,0.0,-1.0
30578362,30578255,-0.10639056,0.17457144,0.0022452092,0.0018280718,0.0,0.0,0.0,-1.0
30582447,30582290,-0.13921534,0.16712329,-0.018147405,0.0018280718,0.0,0.0,0.0,-1.0
30586365,30586257,-0.11437425,0.15015027,-0.023109687,0.0018280718,0.0,0.0,0.0,-1.0
30589564,30589456,-0.1221698,0.16919757,-0.014091746,0.0018280718,0.0,0.0,0.0,-1.0
30593571,30593464,-0.1653511,0.18773216,-0.004881684,0.0018280718,0.0,0.0,0.0,-1.0
30598378,30598266,-0.1143403,0.14957006,-0.0010656314,0.009267461,0.0,0.0,0.0,-1.0
30600011,30599864,-0.10619861,0.15558326,-0.0042271167,0.009267461,0.0,0.0,0.0,-1.0
30603975,30603864,-0.121048026,0.17820786,-0.005979126,0.009267461,0.0,0.0,0.0,-1.0
30606373,30606257,-0.13795993,0.17376164,-0.015136707,0.009267461,0.0,0.0,0.0,-1.0
30610371,30610257,-0.11253336,0.13924001,-0.025157854,0.009267461,0.0,0.0,0.0,-1.0
30614367,30614256,-0.12232895,0.17143492,-0.008975499,0.009267461,0.0,0.0,0.0,-1.0
30617558,30617457,-0.16273782,0.18852176,-0.0016582758,0.009267461,0.0,0.0,0.0,-1.0
30622397,30622290,-0.1138925,0.14117076,0.00026256288,0.021712946,0.0,0.0,0.0,-1.0
30624765,30624655,-0.08109399,0.13889706,0.0032574025,0.021712946,0.0,0.0,0.0,-1.0
30627956,30627855,-0.088539384,0.16404016,0.000950753,0.021712946,0.0,0.0,0.0,-1.0
30631966,30631855,-0.12543517,0.15596776,-0.012499711,0.021712946,0.0,0.0,0.0,-1.0
