timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
78341254,-0.019158633,0.0030082166,-0.0017632613,3998,0,0.12200336,-0.53652835,-9.386484,3998
78345256,0.030414583,0.015308723,-0.00813364,4002,0,-0.10039474,-0.47681308,-10.021573,4002
78349256,-0.0094060935,0.003601692,-0.008752468,4000,0,-0.03734668,-0.5026214,-9.808996,4000
78353275,-0.019770961,0.029951893,-0.0073318905,4019,0,-0.31239918,-0.289006,-10.152382,4019
78357262,0.013144502,0.024109593,0.0071606305,3987,0,-0.35073495,-0.74729717,-9.705311,3987
78361256,-0.012869049,-0.011382424,0.015402379,3994,0,-0.0128900455,-1.121896,-9.49717,3994
78365256,-0.024077002,0.025697028,0.012885827,4000,0,-0.084058896,-0.43792722,-9.706642,4000
78369308,0.0071305926,0.0034932669,0.0069927126,4052,0,0.004329128,-0.5969347,-9.950508,4052
78373256,-0.02644126,-0.004793657,0.00027358843,3948,0,0.20689794,-0.5508705,-9.796513,3948
78377260,-0.00833277,0.020190213,-0.0046590744,4004,0,-0.1980742,-0.49430403,-9.993035,4004
78381279,-0.0059807026,0.008539257,0.0028963715,4019,0,-0.23034897,-0.6680128,-10.02488,4019
78386103,-0.022608161,0.0047944793,0.0099648945,4824,0,0.06759191,-1.0114309,-9.527364,4824
78390054,0.007333999,0.0018935405,0.0027378025,3951,0,-0.029982397,-0.5583952,-9.54458,3951
78394054,-0.023505291,0.0063254805,-0.0045468435,4000,0,-0.019411623,-0.504618,-9.967097,4000
78398068,-0.019453738,-0.0060108486,-0.013951904,4014,0,0.18727559,-0.14477767,-9.771816,4014
78402054,0.00010085424,-0.0041991835,-0.017177038,3986,0,-0.36142525,-0.47129047,-10.246968,3986
78406054,-0.02607723,0.01807734,-0.0047772746,4000,0,-0.23457246,-0.62005013,-9.453082,4000
78410054,-0.006989522,-0.026234852,0.0023327249,4000,0,-0.061867416,-0.6798155,-9.56541,4000
78414054,-0.01110506,-0.0008508295,0.0046497416,4000,0,-0.23187721,-0.7598834,-9.9170475,4000
78418067,-0.00664628,0.00017576232,6.8808615e-05,4013,0,0.2820075,-0.6656609,-9.524105,4013
78422054,-0.0022789235,-0.03035658,-0.011952131,3987,0,0.21029204,-0.27847022,-9.884681,3987
78426075,0.004782959,0.0023255306,-0.0050418563,4021,0,-0.28755894,-0.20354673,-10.105863,4021
78430054,-0.0009283605,-0.0036594793,0.0045890566,3979,0,-0.03890263,-0.5462274,-9.722154,3979
78434054,0.0038087526,-0.022732172,0.013149131,4000,0,-0.12987958,-0.6160005,-9.780792,4000
78438073,-0.004549102,0.00032174672,0.018290661,4019,0,-0.47639957,-0.8334882,-9.790922,4019
78442054,-0.0021557582,-0.009397242,0.0059292745,3981,0,0.31032562,-0.40805843,-9.290065,3981
78446054,0.032627966,-0.037376102,-0.0035535854,4000,0,0.17380285,-0.46226287,-10.058661,4000
78450057,-0.014594449,-0.0033835063,-0.0046155946,4003,0,-0.523939,-0.47599033,-10.415929,4003
78454054,0.027983865,0.0042162067,-0.0011031593,3997,0,0.09222309,-0.016013356,-9.388167,3997
78458054,0.03641522,-0.034558732,0.008226998,4000,0,-0.1296031,-1.3455368,-9.63056,4000
78462054,-0.021166122,0.0025288118,0.009150242,4000,0,-0.5479654,-0.5877898,-10.187221,4000
78466054,0.039481126,0.015133816,0.0033020205,4000,0,0.46807984,-0.5430732,-9.073936,4000
78470106,0.026166566,-0.042107645,-0.012868652,4052,0,0.07029841,-0.7030986,-9.9185915,4052
78474054,0.0015370187,0.011166496,-0.013936865,3948,0,-0.38609666,-0.03682482,-10.1542635,3948
78478079,0.021768373,0.0117310155,-0.007491919,4025,0,0.20002069,-0.4494431,-9.480159,4025
78482054,0.028276598,-0.01958532,0.000463366,3975,0,-0.6623868,-0.93013626,-10.371117,3975
78486054,-0.0031337405,0.019349277,0.01030238,4000,0,-0.27309677,-0.8801011,-9.500121,4000
78490054,0.01668879,0.0028057224,0.003609084,4000,0,0.24497534,-0.7299192,-9.295343,4000
78494054,0.028049527,-0.010016961,-0.010151726,4000,0,-0.20484468,-0.45048296,-10.511649,4000
78498054,-0.015598133,0.010049019,-0.00875624,4000,0,0.07600508,-0.26070994,-9.8413925,4000
78502057,0.027035322,0.0104828775,-0.008094979,4003,0,-0.059844706,-0.44708782,-9.73071,4003
78506054,-0.00054671546,0.010491507,0.007864256,3997,0,-0.36315745,-0.83273715,-9.995926,3997
78510054,-0.009583875,0.009670528,0.014196765,4000,0,-0.052418802,-0.929298,-9.684652,4000
78514054,0.0148882475,0.016465982,0.01044554,4000,0,-0.10807298,-0.8478546,-9.621978,4000
78518062,-0.021843093,0.015252332,-0.0016624462,4008,0,-0.0072195474,-0.5953586,-9.777092,4008
78522054,0.009677783,-0.0032008458,-0.008210129,3992,0,0.1286482,-0.39861012,-9.651373,3992
78526056,-0.0068843877,0.02099412,-0.0061890795,4002,0,-0.19851841,-0.5958534,-9.806616,4002
78530075,-0.024827791,0.0062932996,0.0037501992,4019,0,-0.14459807,-0.5099336,-10.0039625,4019
78534054,-0.0073750443,-0.0006626643,0.014168674,3979,0,-0.17730951,-1.0260062,-9.812414,3979
78538054,-0.030822558,0.024654815,0.008238804,4000,0,-0.14743325,-0.75943434,-9.190305,4000
78542054,-0.023972439,-0.0015437071,-0.001975811,4000,0,0.2541899,-0.6121685,-9.751528,4000
78546054,-0.018359177,-0.0027270347,-0.011603712,4000,0,0.09776837,-0.55340165,-10.328172,4000
78550061,-0.023859326,0.00203653,-0.009323926,4007,0,-0.17666425,-0.13957173,-9.762667,4007
78554106,-0.027765531,-0.005068112,-0.0011793204,4045,0,-0.12499009,-0.5958062,-9.869741,4045
78558854,-0.026295481,-0.0014002562,0.012219951,4748,0,-0.15985574,-0.7393348,-9.862051,4748
78562854,-0.019988187,0.007578996,0.00837583,4000,0,-0.33168575,-0.71010256,-9.687996,4000
78566856,-0.014789073,0.004605425,-0.006017938,4002,0,0.31704214,-0.34570146,-9.648418,4002
78570903,-0.008411106,-0.0150017245,-0.011948173,4047,0,0.09493871,-0.39421788,-9.944793,4047
78574857,-0.014887424,0.020155134,-0.006780311,3954,0,-0.37306353,-0.3836885,-10.011939,3954
78578887,-0.001580758,-0.0043619545,0.0012122988,4030,0,-0.00619648,-0.28193176,-9.609486,4030
78582854,0.012231621,-0.0064875167,0.014483161,3967,0,-0.44092232,-1.0072486,-9.947838,3967
78586856,-0.016453061,0.030729393,0.010266098,4002,0,-0.07060402,-0.65472925,-9.4024725,4002
78590854,0.012369395,-0.018376874,-0.0024807262,3998,0,0.1320184,-0.1707924,-9.928912,3998
78594861,0.028165784,0.009934162,-0.009898941,4007,0,-0.07125005,-0.6738632,-9.957676,4007
78598863,-0.0060710483,0.008891174,-0.010221642,4002,0,0.2123955,-0.24818392,-9.614901,4002
