timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
78206222,78206222,8,40,0,0,20003,1497,1512,1112,1179,1012,1112,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78396408,78396408,8,40,0,0,20004,1498,1511,1112,1371,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78608619,78608619,8,40,0,0,20004,1498,1510,1168,1450,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
78802457,78802457,8,40,0,0,20003,1497,1511,1200,1433,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
79019127,79019127,8,40,0,0,20004,1497,1511,1243,1400,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
79209102,79209102,8,40,0,0,20003,1497,1512,1302,1391,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
79421477,79421477,8,40,0,0,20004,1497,1511,1316,1387,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
79614004,79614004,8,40,0,0,20004,1498,1510,1359,1387,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
79827021,79827021,8,40,0,0,20003,1498,1510,1391,1392,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80019296,80019296,8,40,0,0,20003,1514,1505,1424,1399,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80230489,80230489,8,40,0,0,20004,1508,1511,1503,1453,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80439517,80439517,8,40,0,0,20004,1505,1511,1524,1511,1012,1112,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80632300,80632300,8,40,0,0,20004,1512,1507,1526,1512,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
80827905,80827905,8,40,0,0,20003,1521,1504,1555,1512,1012,1112,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81040654,81040654,8,40,0,0,20003,1510,1504,1569,1512,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
81235491,81235491,8,40,0,0,20003,1524,1487,1568,1511,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81443378,81443378,8,40,0,0,20003,1521,1467,1578,1510,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
81636048,81636048,8,40,0,0,20004,1512,1472,1583,1493,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
81847965,81847965,8,40,0,0,20004,1516,1459,1586,1457,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82040627,82040627,8,40,0,0,20004,1498,1479,1586,1447,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82254595,82254595,8,40,0,0,20004,1499,1510,1596,1439,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82447862,82447862,8,40,0,0,20003,1512,1465,1585,1425,1012,1112,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82660809,82660809,8,40,0,0,20004,1499,1488,1577,1437,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
82853430,82853430,8,40,0,0,20003,1500,1474,1588,1445,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83064194,83064194,8,40,0,0,20004,1505,1444,1598,1457,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
83260207,83260207,8,40,0,0,20004,1510,1446,1591,1462,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83472418,83472418,8,40,0,0,20003,1502,1479,1598,1468,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83661457,83661457,8,40,0,0,20003,1499,1500,1590,1464,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
83875579,83875579,8,40,0,0,20003,1499,1510,1594,1456,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84087071,84087071,8,40,0,0,20003,1497,1512,1606,1468,1012,1112,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84277748,84277748,8,40,0,0,20004,1498,1510,1604,1470,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84492906,84492906,8,40,0,0,20004,1531,1510,1682,1455,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
84685639,84685639,8,40,0,0,20003,1556,1465,1551,1433,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
84898399,84898399,8,40,0,0,20003,1497,1511,1603,1444,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
85087946,85087946,8,40,0,0,20003,1497,1512,1781,1480,1012,1113,1512,1550,0,0,0,0,0,0,0,0,0,0,0,0,2
85282762,85282762,8,40,0,0,20003,1498,1511,1566,1382,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
85495978,85495978,8,40,0,0,20004,1498,1511,1378,1443,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
85687020,85687020,8,40,0,0,20004,1498,1511,1455,1434,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
85899601,85899601,8,40,0,0,20003,1502,1511,1696,1507,1012,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86113046,86113046,8,40,0,0,20004,1500,1495,1783,1490,1012,1112,1512,1553,0,0,0,0,0,0,0,0,0,0,0,0,2
86306395,86306395,8,40,0,0,20003,1497,1510,1370,1337,1012,1112,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
86499166,86499166,8,40,0,0,20004,1499,1511,1247,1393,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86711805,86711805,8,40,0,0,20003,1498,1512,1353,1429,1012,1113,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
86904744,86904744,8,40,0,0,20004,1537,1430,1625,1511,1013,1112,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
