timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
9856258,-0.033948153,-0.116038896,1.2000215,3988,0,-0.6009185,-2.203031,-12.873832,3988
9860260,-0.26262742,-0.018675406,1.212397,4002,0,0.8091737,1.9329975,-6.634345,4002
9864274,0.14484198,-0.18109259,1.2676678,4014,0,-1.6393319,0.6460176,-11.802028,4014
9868258,-0.36375156,0.0059904465,1.2823702,3984,0,1.521528,-0.71155906,-7.055923,3984
9872274,0.032087747,-0.21218647,1.3225378,4016,0,-1.2802631,1.8582882,-10.357731,4016
9876255,-0.0857479,-0.011218672,1.345276,3981,0,-0.59574956,-2.4537373,-12.014178,3981
9880257,-0.24766971,-0.08045812,1.3594075,4002,0,2.0124242,2.8494687,-5.670404,4002
9884267,0.28667688,-0.24676673,1.3316275,4010,0,-3.2009137,-0.81191677,-13.785139,4010
9888318,-0.29457062,0.10932841,1.2964686,4051,0,1.8302677,-1.6512796,-7.4279985,4051
9892255,0.10713418,-0.15836792,1.2810465,3937,0,-1.0946978,3.0343041,-9.653843,3937
9896279,0.047676504,-0.03983045,1.2536912,4024,0,-1.0966256,-3.3385966,-12.539006,4024
9900255,-0.17493895,-0.0054549733,1.2347091,3976,0,1.2580124,2.9470234,-7.736629,3976
9904257,0.29059625,-0.063432015,1.2890137,4002,0,-2.3370242,-0.9371729,-10.952065,4002
9908260,-0.15102147,0.114509374,1.3170117,4003,0,1.8634896,1.0804719,-7.613555,4003
9912325,0.18457264,-0.14835323,1.3576478,4065,0,-1.8001113,1.9895357,-10.380352,4065
9916273,0.1800143,0.04489592,1.3947308,3948,0,-2.009935,-2.5778074,-14.109946,3948
9920260,-0.12885399,0.15257575,1.4208951,3987,0,3.8818705,1.8737569,-4.789945,3987
9924257,0.3710423,-0.115587905,1.4252342,3997,0,-3.307554,0.081415184,-10.685776,3997
9928257,0.03327212,0.14529538,1.3441043,4000,0,-0.10762782,-2.1549778,-11.571836,4000
9932285,0.07203224,0.06780019,1.3253647,4028,0,0.40815794,2.33358,-9.143897,4028
9936255,0.3224149,0.054850537,1.3191216,3970,0,-1.6272845,-1.6298646,-12.822495,3970
9940325,-0.11194565,0.2013116,1.2346721,4070,0,1.5969923,-0.625256,-6.732918,4070
9944257,0.2238428,0.013264615,1.2918015,3932,0,-2.184413,1.6055038,-11.52944,3932
9948261,0.055072144,0.23778327,1.3248237,4004,0,-0.21579343,-1.4085125,-11.005017,4004
9952268,-0.07839879,0.066763215,1.3174577,4007,0,2.8614843,1.2454113,-6.5131025,4007
9956255,0.21355025,0.07522023,1.4123473,3987,0,-3.741491,-1.1650473,-13.895345,3987
9960257,-0.20907103,0.28249034,1.4055073,4002,0,2.234363,1.0758862,-7.0266004,4002
9964263,0.1851201,-0.09310641,1.4270304,4006,0,-0.49480888,1.7238122,-9.753603,4006
9968275,0.1274767,0.08231748,1.4174402,4012,0,-1.8844925,-3.7892318,-14.209262,4012
9972265,-0.2427116,0.17340307,1.3381543,3990,0,3.5766683,2.1255906,-5.0386233,3990
9976263,0.3691836,-0.12415265,1.3703812,3998,0,-3.0577908,0.88888913,-11.583777,3998
9980257,-0.08282026,0.061287135,1.2879469,3994,0,0.07384763,-3.8982403,-10.185202,3994
9984257,-0.11387239,0.006631993,1.2488317,4000,0,2.3896115,3.8651018,-8.066026,4000
9988257,0.30564356,-0.09613748,1.3200479,4000,0,-2.5473776,-1.0176677,-12.7135,4000
9992341,-0.21189341,-0.029827574,1.2772744,4084,0,1.0319692,-1.3749133,-8.019096,4084
9996292,0.05238613,-0.05401714,1.3648401,3951,0,0.53464943,3.1505628,-8.970186,3951
10001055,0.06931488,-0.05988488,1.4203247,4763,0,-0.7594132,-1.8471035,-10.23807,4763
10005055,-0.10008681,-0.17993604,1.3888922,4000,0,1.1868806,1.2637994,-9.326192,4000
10009055,0.08954232,-0.10664101,1.4737381,4000,0,-1.280683,0.22622964,-11.298136,4000
10013178,-0.15436928,-0.12727496,1.38688,4123,0,0.95198,-0.80568665,-8.700578,4123
10017855,0.05917812,-0.2147396,1.380862,4677,0,-1.5657133,-0.18031564,-13.28002,4677
