timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
9704623,9704623,8,40,0,0,20003,1502,1515,1263,1307,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
9916543,9916543,8,40,0,0,20004,1500,1515,1273,1335,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
10128333,10128333,8,40,0,0,20003,1505,1515,1285,1362,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
10322102,10322102,8,40,0,0,20004,1517,1515,1283,1419,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
10533391,10533391,8,40,0,0,20003,1540,1515,1290,1504,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
10725737,10725737,8,40,0,0,20003,1569,1514,1391,1503,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
10938060,10938060,8,40,0,0,20004,1523,1515,1514,1513,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
11131131,11131131,8,40,0,0,20003,1504,1516,1516,1507,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
11342499,11342499,8,40,0,0,20003,1520,1516,1336,1394,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
11747357,11747357,8,40,0,0,20003,1496,1516,1378,1388,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
11941219,11941219,8,40,0,0,20003,1497,1515,1669,1496,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
12136556,12136556,8,40,0,0,20003,1497,1516,1733,1511,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
12347422,12347422,8,40,0,0,20003,1496,1516,1441,1398,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
12560137,12560137,8,40,0,0,20003,1496,1516,1116,1463,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
12753959,12753959,8,40,0,0,20004,1498,1515,1116,1464,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
12969411,12969411,8,40,0,0,20004,1497,1516,1146,1480,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
13158619,13158619,8,40,0,0,20004,1498,1516,1127,1470,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
13354593,13354593,8,40,0,0,20003,1496,1524,1207,1484,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
13566829,13566829,8,40,0,0,20003,1497,1555,1412,1479,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
13981825,13981825,8,40,0,0,20003,1498,1528,1769,1464,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
14179966,14179966,8,40,0,0,20003,1497,1518,1710,1421,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
14369223,14369223,8,40,0,0,20004,1510,1517,1116,1410,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
14583914,14583914,8,40,0,0,20004,1541,1545,1116,1445,1012,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
14782617,14782617,8,40,0,0,20003,1553,1561,1119,1409,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
14991744,14991744,8,40,0,0,20003,1552,1593,1158,1411,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
15182964,15182964,8,40,0,0,20004,1498,1517,1306,1439,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
15391749,15391749,8,40,0,0,20003,1497,1517,1491,1473,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
15602602,15602602,8,40,0,0,20003,1497,1518,1769,1431,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
15797376,15797376,8,41,0,0,20004,1499,1523,1835,1480,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
15991612,15991612,8,41,0,0,20004,1517,1517,1566,1389,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
16205235,16205235,8,41,0,0,20003,1529,1519,1133,1434,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
16400135,16400135,8,41,0,0,20003,1532,1524,1116,1467,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
16612611,16612611,8,41,0,0,20003,1529,1536,1132,1460,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
16807774,16807774,8,41,0,0,20004,1514,1536,1176,1461,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
17002820,17002820,8,41,0,0,20003,1498,1517,1336,1485,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
17214526,17214526,8,41,0,0,20003,1497,1517,1555,1492,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
17405353,17405353,8,41,0,0,20003,1498,1516,1799,1512,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
17603195,17603195,8,41,0,0,20003,1498,1517,1845,1504,1012,1513,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
17814496,17814496,8,41,0,0,20003,1503,1516,1323,1384,1012,1512,1512,1513,0,0,0,0,0,0,0,0,0,0,0,0,2
18006021,18006021,8,41,0,0,20004,1512,1517,1116,1439,1013,1512,1512,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
18220475,18220475,8,41,0,0,20003,1510,1518,1116,1459,1012,1512,1513,1512,0,0,0,0,0,0,0,0,0,0,0,0,2
